unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
"[242.0, 222.5]",242.0,"[242.0, 222.5]","[242.0, 222.5]",2,2,1,[430],[216],0,"(430, 216)",110
"[242.5, 207.5]",242.5,"[242.5, 207.5]","[242.5, 207.5]",2,2,1,[435],[215],0,"(435, 215)",115
"[239.0, 215.0]",239.0,"[239.0, 215.0]","[239.0, 215.0]",2,2,1,[439],[214],0,"(439, 214)",119
"[241.5, 226.5]",241.5,"[241.5, 226.5]","[241.5, 226.5]",2,2,1,[445],[214],0,"(445, 214)",125
"[239.0, 219.0]",239.0,"[239.0, 219.0]","[239.0, 219.0]",2,2,1,[452],[213],0,"(452, 213)",132
"[230.5, 214.0]",230.5,"[230.5, 214.0]","[230.5, 214.0]",2,2,1,[458],[213],0,"(458, 213)",138
"[238.0, 215.5]",238.0,"[238.0, 215.5]","[238.0, 215.5]",2,2,1,[463],[212],0,"(463, 212)",143
"[226.5, 208.5]",226.5,"[226.5, 208.5]","[226.5, 208.5]",2,2,1,[468],[210],0,"(468, 210)",148
"[217.5, 190.0]",217.5,"[217.5, 190.0]","[217.5, 190.0]",2,2,1,[473],[209],0,"(473, 209)",153
"[137.0, 217.0]",217.0,"[137.0, 217.0]","[217.0, 137.0]",2,2,1,[478],[208],0,"(478, 208)",158
"[216.0, 149.5]",216.0,"[216.0, 149.5]","[216.0, 149.5]",2,2,1,[483],[207],0,"(483, 207)",163
"[210.5, 124.0]",210.5,[210.5],[210.5],0,1,0,[],[],0,"(-1, -1)",321
"[133.0, 211.5]",211.5,"[133.0, 211.5]","[211.5, 133.0]",2,2,1,[491],[204],0,"(491, 204)",171
"[146.5, 214.0]",214.0,"[146.5, 214.0]","[214.0, 146.5]",2,2,1,[494],[203],0,"(494, 203)",174
"[137.5, 207.5]",207.5,"[137.5, 207.5]","[207.5, 137.5]",2,2,1,[496],[201],0,"(496, 201)",176
"[133.5, 210.5]",210.5,"[133.5, 210.5]","[210.5, 133.5]",2,2,1,[499],[199],0,"(499, 199)",179
"[55.0, 157.0]",157.0,[157.0],[157.0],0,1,0,[],[],0,"(-1, -1)",321
"[54.0, 154.5]",154.5,[154.5],[154.5],0,1,0,[],[],0,"(-1, -1)",321
"[47.0, 163.5]",163.5,[163.5],[163.5],0,1,0,[],[],0,"(-1, -1)",321
"[54.0, 171.5]",171.5,[171.5],[171.5],0,1,0,[],[],0,"(-1, -1)",321
"[51.5, 166.0]",166.0,[166.0],[166.0],0,1,0,[],[],0,"(-1, -1)",321
[162.5],162.5,[162.5],[162.5],0,1,0,[],[],0,"(-1, -1)",321
[153.0],153.0,[153.0],[153.0],0,1,0,[],[],0,"(-1, -1)",321
[130.0],130.0,[130.0],[130.0],0,1,0,[],[],0,"(-1, -1)",321
[141.0],141.0,[141.0],[141.0],0,1,0,[],[],0,"(-1, -1)",321
"[80.5, 182.0]",182.0,[182.0],[182.0],0,1,0,[],[],0,"(-1, -1)",321
"[85.5, 187.0]",187.0,[187.0],[187.0],0,1,0,[],[],0,"(-1, -1)",321
"[80.0, 165.5]",165.5,[165.5],[165.5],0,1,0,[],[],0,"(-1, -1)",321
"[31.5, 158.5]",158.5,[158.5],[158.5],0,1,0,[],[],0,"(-1, -1)",321
"[27.5, 170.0]",170.0,[170.0],[170.0],0,1,0,[],[],0,"(-1, -1)",321
[158.0],158.0,[158.0],[158.0],0,1,0,[],[],0,"(-1, -1)",321
[137.5],137.5,[137.5],[137.5],0,1,0,[],[],0,"(-1, -1)",321
[131.5],131.5,[131.5],[131.5],0,1,0,[],[],0,"(-1, -1)",321
[131.5],131.5,[131.5],[131.5],0,1,0,[],[],0,"(-1, -1)",321
[119.5],119.5,[119.5],[119.5],0,1,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
